w,flux
19693.9383483883,1107873.9447167136
19696.58043049695,1159031.773803442
19699.2225126056,1126181.7645671177
19701.866868451005,1108564.261706512
19704.508950559655,1111990.7958067264
19707.151032668306,1078542.5851534596
19709.79538851371,1027278.0607403545
19712.43747062236,1047801.3481741898
19715.081826467765,1037903.610305446
19717.723908576416,1082708.7426328256
19720.365990685066,1115806.0098113392
19723.01034653047,982467.8226848468
19725.65242863912,1199681.8034822675
19728.29451074777,643405.7743777275
19730.938866593176,1157300.6353588165
19733.580948701827,728226.8883898432
19736.223030810477,737507.8212617695
19738.867386655882,728791.4158330504
19741.509468764532,1075247.0180525216
19744.151550873183,856267.4959501305
19746.795906718588,1018170.2684181002
19749.437988827238,1062163.983032314
19752.082344672643,978168.88945643
19754.724426781293,1087191.852913989
19757.366508889943,1047048.8997838527
19760.010864735348,992277.0141354724
19762.652946844,1131063.4125463099
19765.29502895265,1134936.7642778142
19767.939384798054,962844.7414231745
19770.581466906704,1100355.3160540333
19773.223549015354,1094598.898044344
19775.86790486076,808089.0429192523
19778.50998696941,1091462.0992492386
19781.154342814814,1006081.853393675
19783.796424923465,767148.0150600384
19786.438507032115,1115021.8860447383
19789.08286287752,1119416.89379916
19791.72494498617,1109040.1777823681
19794.36702709482,1154253.637214093
19797.011382940225,709378.6455900269
19799.653465048876,1078031.2902754748
19802.295547157526,1104056.7532652584
19804.93990300293,962485.119824472
19807.58198511158,1156754.407832534
19810.22406722023,802372.1620144057
19812.868423065636,913843.9131418159
19815.510505174287,1085817.4401894314
19818.15486101969,1066202.4810668093
19820.79694312834,930754.4238349637
19823.439025236992,1042285.2977661691
19826.083381082397,1097535.075611739
19828.725463191047,1106946.3905372224
19831.367545299698,1170361.5314861578
19834.011901145102,1139676.1722391613
19836.653983253753,1026023.1715414571
19839.296065362403,1044577.7821849276
19841.940421207808,1026787.938809332
19844.58250331646,1133782.8109808941
19847.226859161863,905862.9297042427
19849.868941270513,1145676.2656704055
19852.511023379164,763651.4505028058
19855.15537922457,1044434.7859413322
19857.79746133322,726835.5842949578
19860.43954344187,932364.974498002
19863.083899287274,779083.1716219002
19865.725981395924,945812.8879064961
19868.368063504575,553204.2855764631
19871.01241934998,1047853.089817703
19873.65450145863,986301.4694894556
19876.29658356728,929253.1640023991
19878.940939412685,1102652.5286779595
19881.583021521335,975591.6658742565
19884.22737736674,1141708.9544918211
19886.86945947539,868599.2858287601
19889.51154158404,1093527.300186173
19892.155897429446,911855.0811134749
19894.797979538096,1086641.233283026
19897.440061646746,1047159.5400141467
19900.08441749215,1039133.2673560713
19902.7264996008,1092817.8552960453
19905.368581709452,1160799.7197611677
19908.012937554857,1019644.7138573892
19910.655019663507,1146082.6366859907
19913.299375508912,1092009.6820010298
19915.941457617562,978023.7293555811
19918.583539726213,976431.9067508565
19921.227895571617,1086618.403679413
19923.869977680268,1114343.5742378382
19926.512059788918,1057678.214500652
19929.156415634323,855880.7682590585
19931.798497742973,828538.2245768113
19934.440579851624,606218.0269509978
19937.08493569703,1108469.9185116861
19939.72701780568,626419.5936688854
19942.36909991433,1160932.4938058727
19945.013455759734,1093576.5910795096
19947.655537868384,988863.6890014503
19950.29989371379,1117290.9287405126
19952.94197582244,990096.6857874037
19955.58405793109,728076.9793333102
