R/R,T,logn_h,logn_e,logNH
1.005,2973,14.82,10.33,26.62
1.01,2720,14.44,10.07,26.50
1.02,2637,14.23,9.92,26.29
1.03,2563,14.02,9.77,26.09
1.04,2499,13.81,9.62,25.88
1.05,2448,13.61,9.47,25.68
1.06,2414,13.40,9.32,25.48
1.08,2400,12.99,9.01,25.08
1.09,2418,12.78,8.86,24.89
1.10,2450,12.58,8.71,24.71
1.15,2744,11.59,7.95,24.01
1.20,3043,10.78,7.29,23.76
1.25,3307,10.38,6.93,23.67
1.30,3529,10.22,6.78,23.62
1.35,3681,10.12,6.69,23.58
1.40,3768,10.04,6.61,23.54
1.45,3811,9.97,6.54,23.50
1.50,3805,9.90,6.47,23.47
1.55,3788,9.84,6.41,23.44
1.60,3771,9.78,6.35,23.41
1.65,3750,9.73,6.30,23.38
1.70,3727,9.68,6.25,23.35
1.80,3688,9.58,6.16,23.31
1.90,3584,9.50,6.08,23.26
2.00,3447,9.42,6.00,23.23
2.20,3221,9.29,5.87,23.16
2.40,3017,9.17,5.75,23.09
2.70,2764,9.02,5.60,23.02
3.00,2569,8.89,5.47,22.95
3.50,2295,8.71,5.29,22.85
4.00,2072,8.56,5.14,22.77
4.50,1884,8.43,5.01,22.71
5.00,1732,8.32,4.90,22.65
5.50,1600,8.22,4.79,22.59
6.00,1453,8.12,4.70,22.55
6.50,1330,8.04,4.62,22.50
7.00,1225,7.96,4.54,22.46
8.00,1056,7.83,4.41,22.39
9.00,926,7.71,4.29,22.33
10.00,824,7.61,4.18,22.28
15.00,525,7.21,3.79,22.08
20.00,382,6.94,3.51,21.94
25.00,298,6.73,3.30,21.83
30.00,243,6.56,3.12,21.74
35.00,205,6.42,2.98,21.67
40.00,177,6.29,2.85,21.61
